,Vo,Mo
2500.0,-57816988208.953316,-2.1623553590148544e+16
2505.0,-57744833421.051,-2.1596567699473076e+16
2510.0,-57673331555.109535,-2.156982600161097e+16
2515.0,-57602127867.68379,-2.154319582251374e+16
2520.0,-57530872719.1282,-2.1516546396953948e+16
2525.0,-57459224198.82904,-2.1489749850362064e+16
2530.0,-57386850626.41825,-2.1462682134280428e+16
2535.0,-57313432908.93088,-2.143522390794015e+16
2540.0,-57238666735.07319,-2.1407261358917376e+16
2545.0,-57162264589.09268,-2.1378686956320664e+16
2550.0,-57083957568.422165,-2.1349400130589892e+16
2555.0,-57003496991.37423,-2.1319307874773964e+16
2560.0,-56920655783.50057,-2.1288325263029216e+16
2565.0,-56835229633.55515,-2.125637588294963e+16
2570.0,-56747037912.2465,-2.122339217918019e+16
2575.0,-56655924349.21159,-2.118931570660514e+16
2580.0,-56561757465.93631,-2.115409729226018e+16
2585.0,-56464430764.648544,-2.111769710597856e+16
2590.0,-56363862675.4917,-2.1080084640633896e+16
2595.0,-56259996266.538376,-2.1041238603685356e+16
2600.0,-56152798723.408325,-2.1001146722554716e+16
2605.0,-56042260607.40655,-2.0959805467170052e+16
2610.0,-55928394903.26432,-2.091721969382086e+16
2615.0,-55811235869.848595,-2.0873402215323376e+16
2620.0,-55690837709.630005,-2.0828373303401624e+16
2625.0,-55567273075.12366,-2.0782160130096252e+16
2630.0,-55440631432.64213,-2.0734796155808156e+16
2635.0,-55311017305.20333,-2.068632047214605e+16
2640.0,-55178548417.108215,-2.0636777107998476e+16
2645.0,-55043353762.5409,-2.05862143071903e+16
2650.0,-54905571619.726845,-2.0534683785777844e+16
2655.0,-54765347530.89971,-2.0482239976556492e+16
2660.0,-54622832266.659744,-2.0428939267730748e+16
2665.0,-54478179791.38832,-2.037483924197923e+16
2670.0,-54331545244.58407,-2.0319997921474444e+16
2675.0,-54183082951.768265,-2.0264473023961332e+16
2680.0,-54032944478.220856,-2.0208321234854604e+16
2685.0,-53881276739.20131,-2.0151597500461292e+16
2690.0,-53728220181.20962,-2.00943543477724e+16
2695.0,-53573907049.87444,-2.0036641236653044e+16
2700.0,-53418459760.87091,-1.9978503950565724e+16
2705.0,-53261989390.720795,-1.991998403212958e+16
2710.0,-53104594304.48558,-1.986111826987761e+16
2715.0,-52946358937.34069,-1.980193824256542e+16
